inom,mi,Extração,Remodelar,Revisão,DI_Ext,DF_Ext,DI_Rem,DF_Rem,DI_Rev,DF_Rev,Situação
SC-24-V-A-III-2-NE,1360-2-NE,,,,,,,,,,"1"
SC-24-V-A-III-2-SO,1360-2-SO,,,,,,,,,,"1"
SB-24-Y-C-VI-2-NO,1281-2-NO,,,,,,,,,,"1"
SC-24-V-A-III-2-SE,1360-2-SE,,,,,,,,,,"1"
SC-24-V-A-III-3-NO,1360-3-NO,,,,,,,,,,"1"
SC-24-V-A-III-3-NE,1360-3-NE,,,,,,,,,,"1"
SC-24-V-A-III-3-SO,1360-3-SO,,,,,,,,,,"1"
SB-24-Y-D-II-3-NO,1204-3-NO,,,,,,,,,,"1"
SC-24-V-A-III-3-SE,1360-3-SE,,,,,,,,,,"1"
SB-24-Y-D-II-3-NE,1204-3-NE,,,,,,,,,,"1"
SC-24-V-A-III-4-NO,1360-4-NO,,,,,,,,,,"1"
SB-24-Y-D-II-3-SO,1204-3-SO,,,,,,,,,,"1"
SC-24-V-A-III-4-NE,1360-4-NE,,,,,,,,,,"1"
SB-24-Y-D-II-3-SE,1204-3-SE,,,,,,,,,,"1"
SC-24-V-A-III-4-SO,1360-4-SO,,,,,,,,,,"1"
SB-24-Y-D-II-4-NO,1204-4-NO,,,,,,,,,,"1"
SB-24-Y-D-II-4-NE,1204-4-NE,,,,,,,,,,"1"
SB-24-Y-D-II-4-SO,1204-4-SO,,,,,,,,,,"1"
SB-24-Y-C-VI-4-SE,1281-4-SE,,,,,,,,,,"1"
SB-24-Y-D-III-3-SO,1205-3-SO,,,,,,,,,,"1"
SC-24-V-A-II-4-SE,1359-4-SE,,,,,,,,,,"1"
SB-24-Y-D-I-4-SE,1203-4-SE,,,,,,,,,,"1"
SC-24-V-A-III-1-SE,1360-1-SE,,,,,,,,,,"1"
SC-24-V-A-V-2-NE,1437-2-NE,,,,,,,,,,"1"
SC-24-V-A-V-2-SO,1437-2-SO,,,,,,,,,,"1"
SB-24-Y-D-IV-2-NE,1282-2-NE,,,,,,,,,,"1"
SC-24-V-A-V-2-SE,1437-2-SE,,,,,,,,,,"1"
SB-24-Y-D-IV-2-SO,1282-2-SO,,,,,,,,,,"1"
SB-24-Y-D-IV-2-SE,1282-2-SE,,,,,,,,,,"1"
SB-24-Y-D-IV-3-NO,1282-3-NO,,,,,,,,,,"1"
SB-24-Y-D-IV-3-NE,1282-3-NE,,,,,,,,,,"1"
SB-24-Y-D-IV-3-SO,1282-3-SO,,,,,,,,,,"1"
SC-24-V-A-V-4-NO,1437-4-NO,,,,,,,,,,"1"
SB-24-Y-D-IV-3-SE,1282-3-SE,,,,,,,,,,"1"
SC-24-V-A-V-4-NE,1437-4-NE,,,,,,,,,,"1"
SB-24-Y-D-IV-4-NO,1282-4-NO,,,,,,,,,,"1"
SB-24-Y-D-IV-4-NE,1282-4-NE,,,,,,,,,,"1"
SC-24-V-A-III-4-SE,1360-4-SE,,,,,,,,,,"1"
SB-24-Y-D-IV-4-SO,1282-4-SO,,,,,,,,,,"1"
SB-24-Y-D-II-4-SE,1204-4-SE,,,,,,,,,,"1"
SC-24-V-A-VI-2-NE,1438-2-NE,,,,,,,,,,"1"
SC-24-V-A-VI-2-SO,1438-2-SO,,,,,,,,,,"1"
SC-24-V-A-VI-2-SE,1438-2-SE,,,,,,,,,,"1"
SC-24-V-A-VI-3-NO,1438-3-NO,,,,,,,,,,"1"
SC-24-V-A-VI-3-NE,1438-3-NE,,,,,,,,,,"1"
SC-24-V-A-VI-3-SO,1438-3-SO,,,,,,,,,,"1"
SC-24-V-A-VI-3-SE,1438-3-SE,,,,,,,,,,"1"
SC-24-V-A-VI-4-NO,1438-4-NO,,,,,,,,,,"1"
SC-24-V-A-VI-4-NE,1438-4-NE,,,,,,,,,,"1"
SC-24-V-A-VI-4-SO,1438-4-SO,,,,,,,,,,"1"
SC-24-V-A-V-1-SE,1437-1-SE,,,,,,,,,,"1"
SC-24-V-A-V-2-NO,1437-2-NO,,,,,,,,,,"1"
SC-24-V-B-III-3-NO,1363-3-NO,,,,,,,,,,"1"
SC-24-V-B-III-3-SO,1363-3-SO,,,,,,,,,,"1"
SC-24-V-B-IV-2-SO,1439-2-SO,Sgt Elizeu,Sgt Elizeu,ST Alves Neto,2021/03/15,2021/03/15,2021/03/15,2021/03/17,2021/03/17,2021/03/17,"7"
SC-24-V-B-IV-2-SE,1439-2-SE,Sgt Elizeu,Sgt Elizeu,ST Alves Neto,2021/03/17,2021/03/17,2021/03/17,2021/03/22,2021/03/22,2021/03/22,"7"
SC-24-V-B-IV-3-NO,1439-3-NO,,,,,,,,,,"1"
SC-24-V-B-IV-3-NE,1439-3-NE,,,,,,,,,,"1"
SC-24-V-B-IV-3-SO,1439-3-SO,,,,,,,,,,"1"
SC-24-V-B-IV-3-SE,1439-3-SE,,,,,,,,,,"1"
SC-24-V-B-IV-4-NO,1439-4-NO,,,,,,,,,,"1"
SC-24-V-B-IV-4-NE,1439-4-NE,,,,,,,,,,"1"
SC-24-V-B-IV-4-SO,1439-4-SO,,,,,,,,,,"1"
SC-24-V-B-II-4-SE,1362-4-SE,,,,,,,,,,"1"
SC-24-V-B-III-1-NO,1363-1-NO,,,,,,,,,,"1"
SC-24-V-B-III-1-SO,1363-1-SO,,,,,,,,,,"1"
SC-24-V-B-V-2-SO,1440-2-SO,,,,,,,,,,"1"
SC-24-V-B-V-2-SE,1440-2-SE,,,,,,,,,,"1"
SC-24-V-B-V-3-NO,1440-3-NO,,,,,,,,,,"1"
SC-24-V-B-V-3-NE,1440-3-NE,,,,,,,,,,"1"
SC-24-V-B-V-3-SO,1440-3-SO,,,,,,,,,,"1"
SC-24-V-B-V-3-SE,1440-3-SE,,,,,,,,,,"1"
SC-24-V-B-V-4-NO,1440-4-NO,,,,,,,,,,"1"
SC-24-V-B-IV-1-NO,1439-1-NO,,,,,,,,,,"1"
SC-24-V-B-IV-1-NE,1439-1-NE,,,,,,,,,,"1"
SC-24-V-B-IV-1-SO,1439-1-SO,,,,,,,,,,"1"
SC-24-V-B-IV-1-SE,1439-1-SE,,,,,,,,,,"1"
SC-24-V-B-IV-2-NO,1439-2-NO,ST Alves Neto,ST Alves Neto,Sgt Elizeu,2021/03/17,2021/03/17,2021/03/18,2021/03/22,2021/03/22,2021/03/22,"7"
SC-24-V-B-IV-2-NE,1439-2-NE,ST Alves Neto,ST Alves Neto,Sgt Elizeu,2021/03/15,2021/03/15,2021/03/15,2021/03/16,2021/03/16,2021/03/16,"7"
SC-24-V-B-IV-4-SE,1439-4-SE,,,,,,,,,,"1"
SC-24-V-B-V-1-NO,1440-1-NO,,,,,,,,,,"1"
SC-24-V-B-V-1-NE,1440-1-NE,,,,,,,,,,"1"
SC-24-V-B-V-1-SO,1440-1-SO,,,,,,,,,,"1"
SC-24-V-B-V-1-SE,1440-1-SE,,,,,,,,,,"1"
SC-24-V-B-V-2-NO,1440-2-NO,,,,,,,,,,"1"
SC-24-V-B-V-2-NE,1440-2-NE,,,,,,,,,,"1"
SC-24-V-B-VI-1-NO,1441-1-NO,,,,,,,,,,"1"
SB-24-Y-C-III-4-SO,1202-4-SO,,,,,,,,,,"1"
SB-24-Y-C-III-4-SE,1202-4-SE,,,,,,,,,,"1"
SC-24-V-D-I-3-NO,1516-3-NO,,,,,,,,,,"1"
SC-24-V-D-I-3-NE,1516-3-NE,,,,,,,,,,"1"
SC-24-V-D-I-3-SO,1516-3-SO,,,,,,,,,,"1"
SC-24-V-D-I-3-SE,1516-3-SE,,,,,,,,,,"1"
SC-24-V-D-I-1-NO,1516-1-NO,,,,,,,,,,"1"
SC-24-V-D-I-1-NE,1516-1-NE,,,,,,,,,,"1"
SC-24-V-D-I-1-SO,1516-1-SO,,,,,,,,,,"1"
SC-24-V-D-I-1-SE,1516-1-SE,,,,,,,,,,"1"
SC-24-V-D-I-2-NO,1516-2-NO,,,,,,,,,,"1"
SC-24-V-D-I-2-NE,1516-2-NE,,,,,,,,,,"1"
SC-24-V-D-II-1-NO,1517-1-NO,,,,,,,,,,"1"
