inom,mi,Situação,Extração,DI_Ext,DF_Ext,Remodelar,DI_Rem,DF_Rem,Revisão,DI_Rev,DF_Rev
SB-24-Z-D-I-3-SE,1209-3-SE,"1",,,,,,,,,
SB-24-Z-D-I-4-NO,1209-4-NO,"1",,,,,,,,,
SB-24-Z-D-I-4-NE,1209-4-NE,"1",,,,,,,,,
SB-24-Z-D-I-4-SO,1209-4-SO,"1",,,,,,,,,
SB-24-Z-D-II-3-SO,1210-3-SO,"1",,,,,,,,,
SB-24-Z-D-I-4-SE,1209-4-SE,"1",,,,,,,,,
SB-24-Z-D-IV-2-NE,1288-2-NE,"1",,,,,,,,,
SB-24-Z-D-IV-2-SO,1288-2-SO,"1",,,,,,,,,
SB-24-Z-D-IV-3-NO,1288-3-NO,"1",,,,,,,,,
SB-24-Z-D-IV-3-NE,1288-3-NE,"1",,,,,,,,,
SB-24-Z-D-IV-3-SO,1288-3-SO,"1",,,,,,,,,
SB-24-Z-D-IV-3-SE,1288-3-SE,"1",,,,,,,,,
SB-24-Z-D-IV-4-NO,1288-4-NO,"1",,,,,,,,,
SB-24-Z-D-IV-4-SO,1288-4-SO,"1",,,,,,,,,
SC-24-X-B-III-2-SO,1369-2-SO,"1",,,,,,,,,
SC-24-X-B-III-3-NO,1369-3-NO,"1",,,,,,,,,
SC-24-X-B-III-3-NE,1369-3-NE,"1",,,,,,,,,
SC-24-X-B-III-3-SO,1369-3-SO,"1",,,,,,,,,
SC-24-X-B-III-3-SE,1369-3-SE,"1",,,,,,,,,
SC-24-X-B-III-4-NO,1369-4-NO,"1",,,,,,,,,
SC-24-X-B-III-4-SO,1369-4-SO,"1",,,,,,,,,
SC-24-X-B-IV-2-NE,1445-2-NE,"1",,,,,,,,,
SC-24-X-B-IV-2-SO,1445-2-SO,"1",,,,,,,,,
SC-24-X-B-IV-2-SE,1445-2-SE,"1",,,,,,,,,
SC-24-X-B-IV-3-NO,1445-3-NO,"1",,,,,,,,,
SC-24-X-B-IV-3-NE,1445-3-NE,"1",,,,,,,,,
SC-24-X-B-IV-3-SO,1445-3-SO,"1",,,,,,,,,
SC-24-X-B-IV-3-SE,1445-3-SE,"1",,,,,,,,,
SC-24-X-B-IV-4-NO,1445-4-NO,"1",,,,,,,,,
SC-24-X-B-IV-4-NE,1445-4-NE,"1",,,,,,,,,
SC-24-X-B-IV-4-SO,1445-4-SO,"1",,,,,,,,,
SC-24-X-B-II-4-SE,1368-4-SE,"1",,,,,,,,,
SC-24-X-B-III-1-NO,1369-1-NO,"1",,,,,,,,,
SC-24-X-B-III-1-NE,1369-1-NE,"1",,,,,,,,,
SC-24-X-B-III-1-SO,1369-1-SO,"1",,,,,,,,,
SC-24-X-B-III-1-SE,1369-1-SE,"1",,,,,,,,,
SC-24-X-B-III-2-NO,1369-2-NO,"1",,,,,,,,,
SC-24-X-B-V-2-NE,1446-2-NE,"1",,,,,,,,,
SC-24-X-B-V-2-SO,1446-2-SO,"1",,,,,,,,,
SC-24-X-B-V-2-SE,1446-2-SE,"1",,,,,,,,,
SC-24-X-B-V-3-NO,1446-3-NO,"1",,,,,,,,,
SC-24-X-B-V-3-NE,1446-3-NE,"1",,,,,,,,,
SC-24-X-B-V-3-SO,1446-3-SO,"1",,,,,,,,,
SC-24-X-B-V-3-SE,1446-3-SE,"1",,,,,,,,,
SC-24-X-B-V-4-NO,1446-4-NO,"1",,,,,,,,,
SC-24-X-B-V-4-NE,1446-4-NE,"1",,,,,,,,,
